Region,Club,Course,Tee,Par,Yardage (yds),Source
Hampshire,Bramshaw Golf Club,Manor,Red,74 (women),5660,https://www.golfify.io/courses/bramshaw-golf-club-manor
Hampshire,Bramshaw Golf Club,Forest,White,69,5594,https://www.golfify.io/courses/bramshaw-golf-club-forest
Hampshire,Bramshaw Golf Club,Forest,Yellow,66.7 CR (par 69),5552,https://www.golfify.io/courses/bramshaw-golf-club-forest
Hampshire,Bramshaw Golf Club,Forest,Red,70 (women),5232,https://www.golfify.io/courses/bramshaw-golf-club-forest
Hampshire,Old Thorns,Old Thorns,White,71,6471,https://www.golfify.io/courses/old-thorns-golf-club
Hampshire,Old Thorns,Old Thorns,Yellow,69,6036,https://www.golfify.io/courses/old-thorns-golf-club
Hampshire,Old Thorns,Old Thorns,Red,72 (women),5296,https://www.golfify.io/courses/old-thorns-golf-club
Hampshire,Sherfield Oaks Golf Club,Wellington,White,72,6412,https://www.golfify.io/courses/sherfield-oaks-golf-club-wellington
Hampshire,Sherfield Oaks Golf Club,Wellington,Yellow,72,6127,https://www.golfify.io/courses/sherfield-oaks-golf-club-wellington
Hampshire,Sherfield Oaks Golf Club,Wellington,Red (Ladies),69,5481,https://www.golfify.io/courses/sherfield-oaks-golf-club-wellington
Hampshire,East Horton Golf Club,Parkland,White,69,5672,https://www.golfify.io/courses/east-horton-golf-club-parkland
Hampshire,East Horton Golf Club,Parkland,Yellow,69,5482,https://www.golfify.io/courses/east-horton-golf-club-parkland
Hampshire,East Horton Golf Club,Parkland,Red (Ladies),70.5 CR (par 71),5137,https://www.golfify.io/courses/east-horton-golf-club-parkland
Hampshire,Meon Valley Hotel & Country Club,Meon Course,White,71,6492,https://www.britanniahotels.com/cms/britannia/pdfs/meon_valley_course_card.pdf
Hampshire,Meon Valley Hotel & Country Club,Meon Course,Yellow,71,6073,https://www.britanniahotels.com/cms/britannia/pdfs/meon_valley_course_card.pdf
Hampshire,Meon Valley Hotel & Country Club,Meon Course,Red,73 (women),5620,https://www.britanniahotels.com/cms/britannia/pdfs/meon_valley_course_card.pdf
Hampshire,Lee-on-the-Solent Golf Club,Lee-on-the-Solent,White,69,5962,https://www.leegolf.co.uk/analysis.php?compid=1211
Hampshire,Lee-on-the-Solent Golf Club,Lee-on-the-Solent,Red (Ladies),71,5495,https://www.leegolf.co.uk/analysis.php?compid=285
Hampshire,Weybrook Park Golf Club,Weybrook Park,White,71,6584,https://supremegolf.com/explore/united-kingdom/england/unknown/weybrook-park-golf-club-united-kingdom
Hampshire,Tylney Park Golf Club,Rotherwick,Yellow,72,6310,https://golfsherpa.co.uk/courses/england/tylney-park-golf-club
Hampshire,Tylney Park Golf Club,Rotherwick,Green,72,5860,https://golfsherpa.co.uk/courses/england/tylney-park-golf-club
Hampshire,Test Valley Golf Club,Test Valley,White,71,6682,https://golftraxx.com/scorecard?course_name=Test%20Valley%20Golf%20Club&static=true&zipcode=RG25%203DS
Hampshire,Test Valley Golf Club,Test Valley,Yellow,71,6105,https://golftraxx.com/scorecard?course_name=Test%20Valley%20Golf%20Club&static=true&zipcode=RG25%203DS
Hampshire,Test Valley Golf Club,Test Valley,Red (Ladies),72,5580,https://golftraxx.com/scorecard?course_name=Test%20Valley%20Golf%20Club&static=true&zipcode=RG25%203DS
Hampshire,Test Valley Golf Club,Test Valley,Blue,71,5145,https://www.golfpass.com/travel-advisor/courses/34242-test-valley-golf-club
Hampshire,Hartley Wintney Golf Club,Hartley Wintney,White,71,6277,https://www.golfnow.com/courses/-3980-hartley-wintney-golf-club-details
Hampshire,Hartley Wintney Golf Club,Hartley Wintney,Yellow,71,5950,https://www.golfnow.com/courses/-3980-hartley-wintney-golf-club-details
Hampshire,Hartley Wintney Golf Club,Hartley Wintney,Red (Women),73 (women),5657,https://www.golfnow.com/courses/-3980-hartley-wintney-golf-club-details
